"","id","baseMean","baseMeanA","baseMeanB","foldChange","log2FoldChange","pval","padj"
"1303","ECB_01303",103.189108428003,43.0413998368121,163.336817019193,3.79487697050911,1.92405311438553,0.016057986095797,0.0604412525435008
"1304","ECB_01304",7.1507176360308,0.0922743152172762,14.2091609568443,153.98825689886,7.26667652537186,0.000375970945686536,0.00286520362665171
"1309","ECB_01309",82.673814885658,44.5593436755861,120.78828609573,2.7107285730043,1.43868066242502,0.0359954069931273,0.11246287318677
"1310","ECB_01310",1310.88511837126,482.388355234955,2139.38188150756,4.43497828728792,2.14892704141501,0.00100758754649649,0.00650790102901543
"1317","ECB_01317",20.5165060678641,4.15162642592343,36.8813857098049,8.88359932375214,3.15114432459679,0.0154139864439748,0.058681793325476
"1318","ECB_01318",45.0928964735683,18.1793086874514,72.0064842596851,3.96090332683492,1.98582949003378,0.0345833804805638,0.108521994957528
"1319","ECB_01319",85.8657772382079,31.2002443483149,140.531310128101,4.50417338272195,2.17126236329263,0.00865778808754421,0.0370399032933451
"1337","ECB_01337",32.0730456052228,1.51793964707278,62.6281515633729,41.2586572095578,5.36662496340609,0.0149554436086124,0.0574421971847237
"1338","ECB_01338",3.25707478241084,0,6.51414956482168,Inf,Inf,0.0317416494499663,0.101446499462503
"1339","ECB_01339",36.0757333799952,2.57576713672462,69.5756996232658,27.0116419420349,4.75550943372105,0.0276540912955692,0.0918472932268673
"1341","ECB_01341",3.96847695613884,0,7.93695391227768,Inf,Inf,0.00911866586418053,0.0386291717638471
"1342","ECB_01342",13.3157724681507,1.58970949039759,25.0418354459039,15.7524601804074,3.97750525765226,0.000842802229662776,0.00567752193236299
"1343","ECB_01343",6.5307455173785,0.237610888642583,12.8238801461144,53.9700862168999,5.75408808689672,0.00445217435859729,0.0218611879585215
"1345","ECB_01345",25.1269019454635,1.26647855723141,48.9873253336956,38.6799484712829,5.27351396777155,3.21438034544218e-06,5.0142012536663e-05
"1346","ECB_01346",15.2555382210757,1.21341629902338,29.2976601431281,24.1447722160222,4.59363894794586,0.000650339109612999,0.0045692931587606
"1347","ECB_01347",357.710003626963,27.1002572379951,688.31975001593,25.3990116762025,4.66670045497211,6.89417262249724e-09,2.50333780687484e-07
"1351","ECB_01351",35.456452482707,11.5429300213552,59.3699749440588,5.14340594928847,2.36272402456588,0.025516762538326,0.0860717649711997
"1357","ECB_01357",37.2655610812563,10.7570680934372,63.7740540690754,5.92857212719362,2.56768467929633,0.00140839034494569,0.00865669229091085
"1362","ECB_01362",21.5421842491984,3.03354074755844,40.0508277508383,13.2026668120655,3.72275746446709,0.00179104252226747,0.0105581101483189
"1365","ECB_01365",28.7303630324273,4.18292479357355,53.2778012712811,12.7369732664414,3.67095058030842,7.0433165434583e-05,0.000687001597839352
"1378","ECB_01378",59.740710156321,8.27429303078383,111.207127281858,13.4400760123096,3.74846939239927,0.000139421093962358,0.00124987250417293
"1379","ECB_01379",370.243420187228,116.317690267794,624.169150106663,5.36607242346081,2.42386652613452,0.000202924937273995,0.00171929147835477
"1380","ECB_01380",19.1894881145063,6.68206889475656,31.6969073342561,4.74357685224238,2.24597532092964,0.00493742516964763,0.0238814270624791
"1383","ECB_01383",565.471579394645,22.8673181082522,1108.07584068104,48.4567466738114,5.5986256421629,1.65472446301816e-11,1.62501463743216e-09
"1385","ECB_01385",69.1790586208504,2.94180809215261,135.416309149548,46.031659750606,5.52455455723623,1.05212987219148e-09,5.05139241971045e-08
"1388","ECB_01388",524.913377921689,47.3986252165752,1002.4281306268,21.1488861975738,4.40250978094895,8.21512535099337e-08,2.23255073217877e-06
"1395","ECB_01395",22.683961911865,2.37071403439761,42.9972097893324,18.1368183447979,4.18084948786664,9.88427468585103e-05,0.000920473080119877
"1396","ECB_01396",52.5423634331278,7.56200202466753,97.5227248415881,12.896416124125,3.68889829555058,0.00139908536391524,0.00861174908472615
"1397","ECB_01397",63.8475742932137,7.99189913406122,119.703249452366,14.9780731018232,3.90478013088348,5.02609807605467e-07,1.03417951364915e-05
"1398","ECB_01398",15.8275511311666,2.7964715187273,28.858630743606,10.3196583803363,3.36732330778494,0.0184650408593139,0.0674221740761254
"1403","ECB_01403",59.9991446950726,30.206994963184,89.7912944269613,2.9725331677778,1.57169290777466,0.0257472230468046,0.0865114702840147
"1407","ECB_01407",14.2176966888273,1.94135858481536,26.4940347928393,13.6471618381409,3.77052904399723,0.006023028934006,0.0278645696186723
"1413","ECB_01413",20.4382668768744,3.08714466557791,37.7893890881709,12.2408870272675,3.61363620058723,0.0334509959835919,0.105351132394388
"1415","ECB_01415",5.59807204947986,1.78810832203093,9.40803577692878,5.26144622281224,2.39545941010669,0.0378239659649482,0.115995285262272
"1416","ECB_01416",5.05525167198709,0.276822945651829,9.83368039832235,35.5233572678276,5.15069603031304,0.0327909256471022,0.103877998329273
"1420","ECB_01420",23.3430417848402,10.2082795860515,36.4778039836289,3.57335471429209,1.83727913226904,0.0144814996398933,0.0559200714423403
"1428","ECB_01428",30.9106912663105,1.04271786978761,60.7786646628333,58.2886957477896,5.86514421553594,0.0199132819500882,0.0712295457833867
"1435","ECB_01435",293.081549680755,29.0835102410895,557.07958912042,19.1544825401912,4.25961014665887,1.42646408274213e-07,3.44343648130098e-06
"1437","ECB_01437",197.157723594328,362.111312488278,32.204134700379,0.0889343513713659,-3.49111541435572,0.00176540479222536,0.010478453443964
"1440","ECB_01440",32.8515747857839,14.5824114724545,51.1207380991134,3.50564364444647,1.80967935076965,0.0329487696002497,0.104225207498301
"1448","ECB_01448",49.9355899606211,14.467466046099,85.4037138751432,5.9031563373305,2.56148655017185,0.0123860554911335,0.049555690534433
"1451","ECB_01451",15.3310849223197,3.70050708578327,26.9616627588561,7.28593734151686,2.86511458807114,0.0188790526820919,0.0686092402349195
"1456","ECB_01456",23.0672197961501,5.716515720322,40.4179238719783,7.07037745532546,2.82178723602341,0.019115856577807,0.069121017801426
"1457","ECB_01457",4.23862993054681,0.475221777285167,8.00203808380845,16.8385340619747,4.07369463984887,0.0376106492321037,0.115505057094471
"1459","ECB_01459",21.5845163850141,4.16547662712221,39.003556142906,9.36352778669947,3.22705217954124,0.00313049328203311,0.0164961725264208
"1469","ECB_01469",23.7507315748552,7.99801174494345,39.503451404767,4.93915896406905,2.30426540179664,0.0455430121976383,0.133962801705919
"1470","ECB_01470",23.1225786435792,3.82893715256868,42.4162201345898,11.0778052614769,3.46960017735564,0.000463787668414124,0.00343743827653076
"1472","ECB_01472",11.6038920500244,1.21701426427593,21.9907698357729,18.0694429648747,4.17548012714412,0.00437699431508399,0.0215901740131027
"1476","ECB_01476",24.9774016332763,3.11610448664093,46.8386987799116,15.0311708033906,3.90988548248228,0.000609594433641448,0.00434396147895978
"1478","ECB_01478",54.4908802125857,5.52477115938234,103.456989265789,18.7260225412405,4.22697259460737,1.14472523866351e-06,2.02719580174796e-05
"1479","ECB_01479",22.8415582602948,4.10162047315651,41.5814960474331,10.1378214585107,3.34167575623462,0.0152353155611638,0.0583098304161105
"1484","ECB_01484",21.9234553522295,0.32988520385986,43.5170255005991,131.915663362355,7.0434720668248,0.00115728722204416,0.00731087439539885
"1487","ECB_01487",76.7308894947051,11.4796155272009,141.982163462209,12.3681984928661,3.62856347275368,4.31886110265884e-05,0.000451859535704331
"1488","ECB_01488",60.5152599587178,19.3999167252787,101.630603192157,5.23871337343058,2.3892125297599,0.00494098490947844,0.0238814270624791
"1489","ECB_01489",14.5202967783982,3.08660300576647,25.9539905510299,8.40859368779916,3.07186453421518,0.0287757628058192,0.0948920954450354
"1492","ECB_01492",45.7770089256458,77.0021410306101,14.5518768206815,0.188980158550355,-2.40369332426993,0.0052914811367704,0.0250712932509891
"1496","ECB_01496",34.1969578634949,0.514433834294412,67.8794818926953,131.949878424691,7.04384621117649,2.22792566234346e-06,3.592114472756e-05
"1498","ECB_01498",303.047481146211,468.133771612739,137.961190679683,0.294704631550939,-1.76265836098444,0.0229695991465747,0.0797201910942564
"1502","ECB_01502",13.1872586317247,1.1639520060679,25.2105652573815,21.6594542781438,4.43692498879695,0.00341523907265481,0.0176311207084127
"1503","ECB_01503",14.0870328767645,0.659770407719719,27.5142953458093,41.7028333248584,5.38207349977699,2.63481133903093e-05,0.000299581704893103
"1504","ECB_01504",20.1062119694756,0.897381296362302,39.3150426425889,43.8108558780527,5.45321649395729,6.38816312362657e-06,8.87096832026425e-05
"1505","ECB_01505",16.1177562245595,0.71283266592775,31.5226797831913,44.2217104938151,5.46668292450143,1.65489571986686e-05,0.000199743139819685
"1506","ECB_01506",4.99169296325858,1.03246563384138,8.95092029267578,8.66946075422683,3.11594225972193,0.0409662584057272,0.123355541861427
"1519","ECB_01519",2.99658346472605,0.0922743152172762,5.90089261423483,63.9494598289907,5.99886026782809,0.0460028217986127,0.134947856749359
"1526","ECB_01526",13.3417440528631,1.74529829976913,24.938189805957,14.2887836476182,3.83681120514628,0.000542558990839424,0.00395345261284511
"1527","ECB_01527",19.4350881421641,5.27996434023464,33.5902119440936,6.3618255313067,2.66944080749987,0.00586261563679414,0.0272978040588227
"1531","ECB_01531",35.2072919838302,1.66327622049808,68.7513077471623,41.3348708409804,5.36928747369968,0.00915090629760858,0.0386520685356468
"1541","ECB_01541",8.71671819732564,0.475221777285167,16.9582146173661,35.6848432204528,5.15723952897806,0.0119693394528667,0.048200853472355
"1545","ECB_01545",24.7151962745217,8.39786571365124,41.0325268353922,4.88606608327773,2.28867337596136,0.00661499230598621,0.0300298955052031
"1550","ECB_01550",12.1269377756198,2.91284827108959,21.34102728015,7.32651525036939,2.87312716473927,0.0141513693264272,0.0549892687585359
"1555","ECB_01555",49.6967239799056,2.33150197738836,97.0619459824228,41.6306513671273,5.37957422643234,4.5568800693198e-08,1.33042424186019e-06
"1556","ECB_01556",29.6355981147133,2.72110371014992,56.5500925192767,20.7820423412531,4.37726553598278,2.42884753435648e-05,0.000278383294322397
"1560","ECB_01560",9.1515494101153,14.8032877617985,3.49981105843206,0.236421200124455,-2.08056868567028,0.0244444942049477,0.083370140729299
"1562","ECB_01562",50.7298472546891,23.7494045147252,77.7102899946529,3.27209425173042,1.7102143052924,0.0459000996038868,0.134737996187768
"1566","ECB_01566",843.501773495338,31.9859301771903,1655.01761681349,51.7420505717762,5.69326532500416,0.000234999307597281,0.00193415620595781
"1567","ECB_01567",292.316801868142,22.821262318823,561.812341417462,24.6179345195151,4.62163781757666,1.59707519277615e-07,3.8126861370087e-06
"1571","ECB_01571",346.583050495351,620.867809182034,72.2982918086676,0.116447157896489,-3.10225266649082,0.00028067207076385,0.00224174494966839
"1572","ECB_01572",300.54615128898,485.392669673942,115.699632904018,0.238362958760252,-2.06876803427548,0.0220155058370707,0.0770095692599527
"1576","ECB_01576",19.469902749837,6.17069136590327,32.7691141337707,5.3104445175851,2.40883262872704,0.011426925512877,0.0463187102637349
"1577","ECB_01577",76.4755215587146,132.142969473532,20.8080736438972,0.157466369393682,-2.66688435446362,0.00790906841654962,0.0346252123889675
"1584","ECB_01584",13.5056579183372,1.73144809857035,25.2798677381041,14.6004190128354,3.86793786803822,0.0123817888279743,0.049555690534433
"1585","ECB_01585",21.7404396711645,2.55040528091416,40.9304740614149,16.0486156328628,4.00437694950958,0.016941176018906,0.0629644134013986
"1586","ECB_01586",48.138443064831,9.56110415256635,86.7157819770957,9.06964097382202,3.18104544209466,2.4098304742182e-05,0.000276938230827043
"1587","ECB_01587",113.057647705031,48.7136616337619,177.4016337763,3.64172242091012,1.86462096151353,0.0163277646388766,0.0610313763015446
"1589","ECB_01589",85.1049461385024,34.5665463144305,135.643345962574,3.9241220319991,1.97236990705726,0.0140067368768571,0.0546205473290496
"1594","ECB_01594",5.89735455518735,8.99737793265781,2.79733117771689,0.310905154663273,-1.68545355879541,0.0497014810264067,0.143970739370716
"1595","ECB_01595",8.13283609755228,0.883531095163517,15.382141099941,17.4098469019862,4.12183161121834,0.0244457228197227,0.083370140729299
"1599","ECB_01599",11.8765699545868,22.1143661647349,1.63877374443872,0.0741044862977816,-3.75429530360477,0.00151218543536544,0.00920303276931557
"1600","ECB_01600",23.9849729743174,47.0273579123393,0.942588036295445,0.0200433976761455,-5.64072910065105,0.0279916714915715,0.0927546108244483
"1601","ECB_01601",13.3762540519037,22.7903253202405,3.96218278356695,0.173853717658346,-2.52405417714645,0.00779328812565391,0.0341876121735539
"1602","ECB_01602",16.2051222615069,31.2453929171638,1.16485160585006,0.0372807475629528,-4.74542540020765,0.000628120595914193,0.00445666518053404
"1603","ECB_01603",18.3961023594691,28.37607242719,8.41613229174823,0.29659257155278,-1.75344563033208,0.0121755905733853,0.0488493285678716
"1605","ECB_01605",158.65590037059,83.9982719422095,233.31352879897,2.77759915060501,1.47383841171627,0.00930906877135237,0.0390908514684291
"1606","ECB_01606",20.7675234445201,37.5067420022525,4.02830488678772,0.107402154165931,-3.21890516512699,0.0153605407489566,0.0585815503762061
"1607","ECB_01607",142.158733435282,253.471052346109,30.8464145244537,0.121696005279268,-3.03864628310834,0.000985097798308428,0.00641180961944347
"1612","ECB_01612",263.074836883663,141.920484030081,384.229189737245,2.70735540653741,1.43688428895388,0.0333687662172968,0.105168810229715
"1616","ECB_01616",36.5484808008869,9.20117580802059,63.8957857937532,6.94430658938782,2.79583064381137,0.0043672225084257,0.0215901740131027
"1618","ECB_01618",33.1974029196005,2.48349282150734,63.9113130176936,25.7344464474445,4.68562884513666,1.48546776599864e-05,0.000181833037305386
"1619","ECB_01619",41.7878409325278,1.34850063650245,82.2271812285531,60.976746323103,5.9301872660819,3.46463131564679e-05,0.000378047270578529
"1629","ECB_01629",32.4439367001598,56.0198818652002,8.86799153511935,0.158300789645688,-2.65925964285461,0.00512375852742196,0.0245180073056371
"1631","ECB_01631",25.0171508937773,43.7308653788338,6.30343640872084,0.144141588649461,-2.79444144374841,0.00333800513453365,0.0173568233289048
"1637","ECB_01637",27.919068708567,3.31036369321027,52.5277737239237,15.8676745493738,3.98801880769119,0.00787450057146739,0.0345088407396659
"1642","ECB_01642",10.0537013421945,0.883531095163517,19.2238715892255,21.758002287025,4.44347419637875,0.00326993518389046,0.0170799175922554
"1644","ECB_01644",60.7365758220428,21.6314109888344,99.8417406552511,4.61559075858652,2.20651531307972,0.0215539980803405,0.0758426919423055
"1647","ECB_01647",341.056052772068,12.9119351297501,669.200170414385,51.8280307087739,5.69566067208169,1.97706767743669e-10,1.2032266808738e-08
"1649","ECB_01649",69.1209317414444,30.3595232754132,107.882340207476,3.55349256405633,1.82923768035733,0.0290542308122267,0.0953976681912095
"1650","ECB_01650",123.160876805982,41.7107087358287,204.611044876135,4.90547993734708,2.29439429227696,0.00403397394837802,0.0201512155270999
"1651","ECB_01651",107.621845304008,31.8256600829434,183.418030525072,5.76321213910574,2.52687312512161,0.00264151774009274,0.0144480989303047
"1652","ECB_01652",399.405783340588,82.2490017330165,716.562564948159,8.71211260744719,3.1230226015704,1.1330276449808e-05,0.00014399448394006
"1653","ECB_01653",244.018126675177,27.3110490070331,460.725204343321,16.8695535724269,4.07634989024564,9.91935608334955e-07,1.83168964257066e-05
"1655","ECB_01655",28.2282807269955,41.9645125639584,14.4920488900326,0.345340574799842,-1.53390824542366,0.0385233251127284,0.117639072658727
"1656","ECB_01656",171.692410332723,317.659387856543,25.7254328089034,0.0809843303624357,-3.62621340147289,1.21065577600211e-05,0.000152071035119334
"1658","ECB_01658",8.5138499544968,0.752044722936995,16.2756551860566,21.6418714069218,4.43575335157294,0.00154002893432746,0.00933305052626781
"1659","ECB_01659",4.71131878773576,0.0922743152172762,9.33036326025425,101.11549718125,6.65986031454437,0.0119088651814273,0.048002058254615
"1662","ECB_01662",47.1338994817869,77.1744678434013,17.0933311201724,0.221489458856488,-2.17469005532759,0.0272023904820063,0.0906256972033532
"1674","ECB_01674",12.7008662797616,2.52270487851659,22.8790276810066,9.0692446333477,3.18098239539496,0.00439676381936935,0.0216629606197206
"1676","ECB_01676",6.23581366111123,0.0922743152172762,12.3793530070052,134.158167176378,7.0677910743113,0.00467350935067452,0.0227668927894753
"1682","ECB_01682",711.433733965926,1310.5739579938,112.293509938049,0.0856826959311364,-3.54485231583394,1.10827511432629e-05,0.000141264211475041
"1683","ECB_01683",72.6416165790341,128.678488385008,16.60474477306,0.129040564444449,-2.95410344068425,5.48721142808626e-05,0.000551400943738622
"1685","ECB_01685",654.974351621791,1181.97373228164,127.974970961945,0.108272263136429,-3.2072643898973,9.7675289290883e-05,0.000913538798757371
"1688","ECB_01688",1914.9487667053,3319.34892827917,510.548605131438,0.153809863368633,-2.70078007288317,0.000303705332358582,0.00239910555963699
"1694","ECB_01694",443.704943025551,58.2835950796701,829.126290971433,14.2257232045839,3.83043009273697,1.43747119220623e-06,2.44539882737131e-05
"1695","ECB_01695",125.953062779926,58.0094453243056,193.896680235546,3.34250188312531,1.74092837311587,0.0371582317535176,0.114440997439023
"1699","ECB_01699",43.5967211667591,0.989655611579579,86.2037867219386,87.1048329472407,6.4446808627997,8.00711527595056e-05,0.000770573387692258
"1709","ECB_01709",66.2029487233861,121.905426339786,10.5004711069862,0.0861362075689585,-3.53723638421099,3.6693852749234e-05,0.000396385344323601
"1710","ECB_01710",95.2959778815694,14.7766664873226,175.815289275816,11.8981699577948,3.57266778641672,0.000692635367801481,0.00481944834826119
"1711","ECB_01711",3.93477578126671,0.32988520385986,7.53966635867355,22.8554244641919,4.51446470738425,0.0468893373551172,0.136990416978676
"1712","ECB_01712",256.782895409631,9.728746276361,503.837044542901,51.7884864329465,5.69455948985755,1.87226566261079e-10,1.15572284687732e-08
"1715","ECB_01715",89.672929718294,29.3900149583596,149.955844478228,5.10227179845566,2.35113975347581,0.00691066196066176,0.0311376124421475
"1716","ECB_01716",71.358077072928,11.4905855220012,131.225568623855,11.4202682163233,3.51352462910962,3.73647686183406e-05,0.000400628201488461
"1717","ECB_01717",268.686155077773,48.1308882057551,489.24142194979,10.1648118326495,3.3455116036641,4.60681487420941e-06,6.76816678552906e-05
"1729","ECB_01729",11.539301808935,2.65419125074311,20.4244123671269,7.69515473363441,2.94395033645636,0.0216184404908481,0.0760075519617206
"1730","ECB_01730",221.138632915137,432.730933173037,9.54633265723697,0.0220606661678601,-5.50237983299968,3.41655967246201e-10,1.91726679801407e-08
"1732","ECB_01732",43.2417507157477,75.1965837545477,11.2869176769478,0.150098809193113,-2.73601556348509,0.00662716564242581,0.0300396900852998
"1735","ECB_01735",128.737680140369,218.931062067896,38.5442982128411,0.176056781750264,-2.50588729365036,0.00578355089631708,0.0270169982951201
"1736","ECB_01736",38.3059908047431,57.9533309523576,18.6586506571285,0.321959934839076,-1.6350469264397,0.00864115813966273,0.0370053957596458
"1745","ECB_01745",5.80905160823313,1.49078090448665,10.1273223119796,6.79330026397607,2.76411262273855,0.0243555270694468,0.0832596775847148
"1748","ECB_01748",3094.21302632256,5933.35244348944,255.073609155679,0.0429897956652763,-4.53986193670853,1.88936162872369e-08,6.18479666493566e-07
"1752","ECB_01752",97.8275223682169,4.57738391025312,191.077660826181,41.7438573151306,5.38349201288128,2.68560480269723e-08,8.59592470552202e-07
"1753","ECB_01753",7.30985472699695,1.35209860175501,13.2676108522389,9.81260600004885,3.29463633359673,0.0438801073069087,0.129956095732113
"1759","ECB_01759",10.5687358002795,2.856188047629,18.28128355293,6.40058821340766,2.67820449473316,0.0282343937486405,0.0934872148566096
"1765","ECB_01765",1.90302065861655,0,3.80604131723311,Inf,Inf,0.0391354393439358,0.11883642544283
