"gene_id","A1","A2","A3","tau1","tau2","tau3","tau4"
"ECB_00365","0.807812","0.084209","0.20139","6.000716","11.746196","23.999956","171.234351"
"ECB_00366","0.120448","0.08273","0.635816","8.0733","24.885766","30.039742","162.071781"
"ECB_00367","0.208965","0.760239","0.322629","7.999797","7.999805","8.939183","206.527746"
"ECB_00370","0.632494","0.004868","0.687094","5.000012","16.757735","48.000017","156.661293"
"ECB_00372","0.265505","0.424306","0.702024","7.972435","8.02224","53.171003","159.580723"
"ECB_00375","0.450161","0.040067","0.914559","7.999984","8.000024","28.286286","173.9706"
"ECB_00376","0.008523","0.163657","0.738478","24.004291","24.012504","33.919313","95.223441"
"ECB_00377","0.156516","0.254745","0.989722","2.309324","24.427725","43.730314","132.753508"
"ECB_00378","0.092266","0.227264","0.881328","8.000003","8.000044","40.421052","160.865185"
"ECB_00379","0.826733","0.085731","0.262616","7.98593","8.011716","38.036558","178.184948"
"ECB_00380","0.770084","0.05869","0.135678","7.999853","8.000112","35.121236","179.834528"
"ECB_00381","0.854288","0.032705","0.126442","7.99734","8.001163","40.710096","157.154531"
"ECB_00382","0.978828","0.022939","0.133411","4.256185","21.883298","21.884503","156.768385"
"ECB_00383","0.754626","0.01131","0.129499","4.002676","10.565997","10.615634","172.143761"
"ECB_00384","0.913996","0.004778","0.107633","6.012212","8.370741","64.56597","87.429836"
"ECB_00385","0.999998","0.058368","0.13805","2.601162","9.673842","22.700795","168.336728"
"ECB_00386","0.028983","0.700496","0.21456","7.999947","7.999996","15.99183","186.728926"
"ECB_00389","0.581148","0.479491","0.330454","0.002554","22.314096","22.321022","205.504949"
"ECB_00391","0.556534","0.646376","0.754446","6.000091","6.000113","33.586672","167.60065"
"ECB_00392","0.960518","0.092086","0.158134","1.218693","19.125691","19.12658","179.278625"
"ECB_00394","0.198979","0.05754","0.925947","8.000022","14.106271","27.41309","152.149319"
"ECB_00396","0.272871","0.122636","0.342023","4e-06","16.976796","45.407412","167.802138"
"ECB_00398","0.382445","0.610842","0.747309","7.961136","7.993855","14.112105","207.500049"
"ECB_00399","1.7e-05","0.343788","0.639906","6.1e-05","38.201286","38.205507","160.595197"
"ECB_00401","0.459748","0.081","1.00448","6.028709","12.31552","39.521044","172.515678"
"ECB_00402","0.170316","0","0.109814","12.784461","26.693145","26.693153","217.170787"
"ECB_00404","0.460231","0.372677","0.974071","0.001304","7.997867","40.828411","185.724573"
"ECB_00407","0.160645","0.313213","0.658849","2.347727","33.213317","33.724272","33.830615"
"ECB_00408","0.094468","0.239853","0.71757","2.184848","14.686543","36.518982","167.999982"
"ECB_00409","0.058213","0.05833","0.614472","10.109177","10.188741","10.189221","166.782557"
"ECB_00410","0.043681","0.02634","0.515941","4.000009","4.000011","21.683856","165.7607"
"ECB_00411","0.018676","0.051312","0.621706","10.439875","23.999782","23.999987","165.387963"
"ECB_00412","0.018927","0.629876","0.352103","10.782758","20.473995","38.857506","335.728778"
"ECB_00413","0.851584","0.117538","0.184169","6.000001","9.475988","33.030778","185.017264"
"ECB_00414","0.941718","0.046035","0.238156","7.838914","8.14889","21.310807","175.67785"
"ECB_00415","0.36528","0.059895","0.308902","5.070303","7.077241","76.2527","91.864797"
"ECB_00419","0.865328","0.002374","0.404515","1.2e-05","29.005044","51.513292","235.748541"
"ECB_00420","0.796482","0","0.107219","5.578016","8.418522","35.974581","167.812515"
"ECB_00421","0.992724","0.033001","0.200717","4.136017","9.211447","9.211552","297.635307"
