"gene_id","A1","A2","A3","tau1","tau2","tau3","tau4"
"YP_003044295.1","0.7568","0.001031","0.013896","5.401259","12.52301","25.258964","168.075068"
"YP_003045426.1","0.670307","0.957273","0.944757","6.200712","8.628514","29.220533","166.747242"
"YP_003046582.1","0.929693","0.537703","0.482034","6.028663","10.185691","21.953319","148.931357"
"YP_003043558.1","0.00576","0.571427","0.178446","15.382346","15.382351","15.382357","172.98728"
"YP_003047321.1","0.338045","0.991947","0.504876","2.319189","6.707302","6.707626","193.062474"
"YP_003045420.1","0.358547","0.403868","0.597189","14.898268","14.960988","41.850991","125.006462"
"YP_003043316.1","0.859181","0.664225","0.777299","8.656847","15.464958","123.725774","208.66019"
"YP_003044281.1","0.543601","0.797172","0.802418","6.009388","8.473158","27.473591","167.460989"
"YP_003044174.1","0.814819","0.852596","0.686531","8.065721","20.456156","20.463146","171.486117"
"YP_003046655.1","0.707922","0.630636","0.852188","11.198649","11.198662","11.23372","169.838436"
"YP_003045400.1","0.956396","0.843778","0.80473","6.00212","8.783799","8.783973","175.57966"
"YP_003045396.1","0.85119","0.318698","0.592483","5.291168","8.62363","8.62367","191.192864"
"YP_003044154.1","0.660682","0.758419","0.897634","7.999131","23.999971","52.00543","153.020666"
"YP_003044824.1","0.861378","0.806362","0.721544","3.997997","4.004141","42.291729","189.406403"
"YP_003043304.1","0.9523","0.75051","0.683351","7.999977","8.000003","28.086891","247.996801"
"YP_003044152.1","0.919842","0.856151","0.992338","0.145056","32.300779","99.765271","297.231755"
"YP_003043599.1","0.588965","0.831568","0.819538","1.547511","23.999989","44.023689","151.045474"
"YP_003045841.1","0.172177","0.632059","0.937515","6.811189","10.156525","10.156532","200.62679"
"YP_003043302.1","0.92945","0.769511","0.548725","8.000041","9.93993","18.154855","173.901779"
"YP_003044150.1","0.971578","0.880749","0.928759","3.999355","20.811822","35.888429","162.583854"
"YP_003044291.1","0.999937","9.3e-05","0.02092","3.929553","9.971137","9.971143","202.326879"
"YP_003044812.1","0.712297","0.736853","0.846345","8.002909","17.269132","48.15708","159.149271"
"YP_003044717.1","0.518623","0.292703","0.064265","8.000007","8.000064","10.940354","197.547039"
"YP_003047353.1","0.541765","0.826332","0.964581","4.000009","6.149358","19.426943","201.666567"
"YP_003045576.1","0.803881","0.9208","0.169353","6.531454","7.965572","7.993729","172.674794"
"YP_003045059.1","0.713358","0.005908","0.002855","6.030583","6.202322","31.292427","127.987683"
"YP_003044293.1","0.754319","0.922951","0.324003","4.342354","4.991434","6.483075","178.874505"
"YP_003043853.1","0.699899","0.999999","0.853049","0.001968","26.786602","37.181537","132.164174"
"YP_003046911.1","0.067949","0.703618","0.827256","6.170288","9.639417","42.103772","158.39423"
"YP_003045590.1","0.786445","0.778032","0.76125","3.999997","23.996318","31.409637","156.090098"
"YP_003045965.1","0.845972","0.818423","0.999791","24.151097","24.261838","61.285786","186.506276"
"YP_003044094.1","0.06752","0.7215","0.947785","9.292848","9.444415","9.444431","184.301655"
"YP_003047359.1","0.839412","0.657988","0.917608","5.247385","8.406262","8.406274","186.458495"
"YP_003044820.1","0.951154","0.776931","0.865838","0.961266","23.999838","23.999917","158.990079"
"YP_003046342.1","0.811306","0.595844","0.410489","7.579821","22.072093","23.993142","180.855221"
"YP_003044485.1","0.95959","0.207469","0.129446","4.972799","13.633671","27.540088","172.948826"
"YP_003044826.1","0.853528","0.716792","0.838904","4.822028","5.950613","29.689446","178.451295"
"YP_003044878.1","0.783607","0.96242","0.85915","8.995639","8.995664","12.678535","175.134026"
"YP_003046991.1","0.924581","0.719746","0.033617","4.000098","6.771082","43.541522","226.478539"
"YP_003046923.1","0.844348","0.85847","0.765273","3.999972","11.933873","23.999375","171.543188"
"YP_003043333.1","0.838479","0.693426","0.805374","7.022501","9.023598","51.254162","133.766286"
"YP_003043331.1","0.861065","0.437031","0.510799","5.351549","8.314741","23.911798","169.308996"
"YP_003045554.1","0.99888","0.452084","0.469389","2.958533","10.350309","26.642385","174.83017"
"YP_003046915.1","0.753953","0.32936","0.390352","7.939518","8.038229","82.460731","228.872981"
"YP_003043337.1","0.825321","0.626974","0.714998","8.831917","8.999281","8.999384","188.039964"
"YP_003044235.1","0.977121","0.067793","0.211165","0.000126","14.54181","66.154174","220.636936"
"YP_003045556.1","0.003607","0.683383","0.974651","1.44751","6.861702","48.014571","166.944794"
"YP_003046175.1","0.136388","0.992799","0.77497","7.475485","8.152332","14.278157","199.852299"
"YP_003045592.1","0.983398","0.43566","0.001812","3.292041","10.452258","10.4523","186.276043"
"YP_003043958.1","0.663029","0.079791","0.984851","0.9674","4.105356","4.105382","199.77874"
"YP_003046372.1","0.105748","0.659158","0.778317","8.157742","8.179261","59.518237","118.800692"
"YP_003045678.1","0.905288","0.750254","0.719711","19.833219","19.835223","21.145094","111.559087"
"YP_003045915.1","0.833286","0.5646","0.724421","13.037152","18.970215","18.970606","167.126022"
"YP_003046882.1","0.917616","0.942294","0.889348","21.311704","22.147648","22.427592","232.266386"
"YP_003047404.1","0.171677","0.421654","0.130174","5.597434","5.59796","5.873729","156.588706"
"YP_003044086.1","0.685001","0.93633","0.969405","3.760996","7.998669","32.632077","171.578355"
"YP_003043963.1","1","0.578967","0.49644","3.390105","6.511581","44.918949","159.753243"
"YP_003045021.1","0.486626","0.902897","0.507307","4.999998","5.000013","33.222238","191.930439"
"YP_003046903.1","0.448738","0.774252","0.538961","27.755082","27.755091","29.371168","226.655423"
"YP_003047381.1","0.407996","0.09342","0.06911","6.000161","9.32262","58.987886","168.000563"
"YP_003047406.1","0.975361","0.801968","0.945852","6.100638","9.864111","83.287122","118.129081"
"YP_003044088.1","0.336981","0.87288","0.997798","7.201896","27.032367","27.03281","335.999461"
"YP_003046086.1","0.338235","0.950931","0.643051","1.949614","11.59801","24.000164","159.002821"
"YP_003046649.1","0.946882","0.833022","0.863247","6.000512","7.693224","27.246568","173.12902"
"YP_003043538.1","0.981374","0.604551","0.795684","2.999999","6.000019","43.439499","174.150958"
"YP_003047414.1","0.220876","0.769445","0.422056","5.999797","5.999889","23.117609","214.125399"
"YP_003044305.1","0.85912","0.719524","0.763564","11.615731","15.101383","25.900557","166.713746"
"YP_003043330.1","0.589057","0.999998","0.598633","4.139497","9.357351","9.357352","247.513234"
"YP_003046122.1","0.71021","0.789041","1.003317","20.417595","23.968435","24.923516","229.960612"
"YP_003044610.1","0.063405","0.999076","0.881707","8.000002","32.306172","56.117511","104.060966"
"YP_003046376.1","0.933589","0.982194","0.893532","5.11264","6.106284","56.901419","155.744465"
"YP_003045561.1","0.910788","0.740186","0.804814","7.9999","8.000055","26.571934","179.444971"
"YP_003045583.1","0.745013","0.793745","0.948427","3.1e-05","22.004907","23.054696","168.000363"
"YP_003047410.1","0.930104","0.527083","0.595471","2.720051","25.720832","28.619675","132.651255"
"YP_003046892.1","0.931887","0.930258","0.954875","5.23157","19.13211","19.132113","176.325083"
"YP_003047217.1","0.859673","0.64891","0.602507","7.999785","8.00112","8.687661","192.632474"
"YP_003046519.1","0.254367","0.968817","0.378334","2.913642","10.406852","15.989229","237.075848"
"YP_003045581.1","0.98281","0.923895","0.777743","6.000375","6.001441","26.30451","199.329251"
"YP_003044808.1","0.977128","0.762074","0.786568","6.555111","6.660268","32.855463","155.804028"
"YP_003045047.1","0.86479","0.001358","0.035869","7.99356","8.006152","29.144451","180.280257"
"YP_003047420.1","0.572676","0.827218","0.917307","8.860594","8.860634","31.883276","179.59019"
"YP_003044312.1","0.917944","0.628461","0.685772","5.497099","6.03116","30.925131","159.78013"
"YP_003045404.1","0.884569","0.6096","0.696771","5.000002","16.645013","30.606431","183.552153"
"YP_003044618.1","0.352378","0.946628","0.860336","7.599854","7.91376","64.92649","139.248173"
"YP_003046156.1","0.132044","0.797705","0.953399","8.000163","8.000274","35.217907","155.127902"
"YP_003047429.1","0.531768","0.971698","0.829236","7.999996","8.000011","38.552445","259.568332"
"YP_003044664.1","0.254224","0.043352","0.317607","1e-06","3.174613","5.999949","217.131459"
"YP_003047431.1","0.861574","0.278799","0.402267","4.999999","9.05869","49.940651","161.775128"
"YP_003046378.1","0.613059","0.096224","0.063848","5.999996","11.254175","31.778747","170.316434"
"YP_003043934.1","0.082163","0.537236","1.075893","5.999999","6.000015","47.267121","231.190688"
"YP_003045591.1","0.631113","0.443355","0.501508","6.000011","10.138017","21.840002","188.27869"
"YP_003046573.1","0.936684","0.429227","0.489303","4","6.862865","31.010536","164.270699"
"YP_003044798.1","0.928964","0.005083","-0.000376","5.039911","10.661301","27.431479","172.548946"
"YP_003047423.1","0.920105","0.337331","-0.000153","2.997669","19.189285","23.981449","179.404651"
"YP_003043794.1","0.954762","0.298454","0.419276","5.337316","11.382392","11.382395","203.851104"
"YP_003043461.1","0.786795","0.743608","0.591137","4.999996","22.450736","22.45079","176.781219"
"YP_003046919.1","0.825137","0.694651","0.83267","23.702864","23.703676","26.3073","138.303478"
"YP_003043960.1","0.999615","0.274297","0.205702","2.539238","11.665087","22.154353","191.446727"
"YP_003043467.1","0.965834","0.844111","0.779097","9.602958","13.737708","13.737721","169.535628"
"YP_003046818.1","0.775844","0.933828","0.823846","7.99996","8.000038","42.952083","194.952385"
"YP_003046567.1","0.649291","0.654639","0.271391","10.068718","10.068729","20.757049","71.778818"
"YP_003047427.1","0.910604","0.872162","0.994725","4.999986","12.727206","12.808543","219.404863"
"YP_003045255.1","0.847112","0.826758","0.986224","8.388118","10.079899","42.296935","205.247624"
"YP_003043967.1","0.439942","0.935006","0.968556","1e-06","30.695894","35.77263","176.741981"
"YP_003046561.1","0.572379","0.883135","0.76707","4.000054","4.178548","37.557317","180.586546"
"YP_003046909.1","0.948355","0.378397","0.401837","6.000056","9.104278","26.869","171.725725"
